   147/199     2.51G   0.02788  0.007988  0.001394   0.03727         8       640    0.9682         1    0.9955    0.8802   0.01392  0.003327   0.00112
   148/199     2.51G   0.03085  0.007804  0.001485   0.04014         6       640    0.9672         1    0.9955    0.8923   0.01341  0.003157    0.0011
   149/199     2.51G   0.03038  0.007146   0.00137    0.0389         4       640     0.966         1    0.9955     0.875   0.01325   0.00317  0.001106
   150/199     2.51G   0.02639  0.007155  0.001285   0.03483         4       640    0.9612         1    0.9956    0.9209   0.01391  0.003171  0.001099
   151/199     2.51G   0.02641  0.007483  0.001407    0.0353         9       640    0.9585         1    0.9955    0.9353   0.01076   0.00307  0.001108
   152/199     2.51G   0.02773  0.006986  0.001417   0.03613         8       640    0.9623         1    0.9956    0.8803   0.01116  0.003043  0.001105
   153/199     2.51G   0.02638  0.007526  0.001508   0.03542         8       640    0.9671         1    0.9956    0.9264   0.01231  0.003073  0.001095
   154/199     2.51G    0.0211  0.007129  0.001279   0.02951         4       640    0.9613         1    0.9956    0.9287   0.01183  0.002998  0.001081
   155/199     2.51G   0.02624  0.007141  0.001242   0.03462         4       640    0.9802         1    0.9956    0.8795   0.01105  0.003197  0.001066
   156/199     2.51G   0.02505  0.007712  0.001506   0.03427         4       640    0.9808         1    0.9956    0.9212   0.01033   0.00309  0.001046
   157/199     2.51G   0.02578  0.007454  0.001281   0.03451         4       640    0.9801         1    0.9956    0.9479  0.009636  0.002988  0.001035
   158/199     2.51G   0.02019  0.006578  0.001205   0.02797         5       640     0.981         1    0.9957    0.9533   0.01018  0.002963  0.001008
   159/199     2.51G   0.02321  0.007231  0.001231   0.03167         7       640    0.9808         1    0.9957    0.9199    0.0109  0.003067  0.001002
   160/199     2.51G   0.02211  0.006086   0.00113   0.02932         4       640    0.9802         1    0.9957    0.9156    0.0112  0.003303 0.0009837
   161/199     2.51G   0.02181   0.00737  0.001177   0.03036         4       640    0.9802         1    0.9957     0.901  0.008525  0.003062 0.0009807
   162/199     2.51G   0.02099  0.006928  0.001162   0.02908         5       640    0.9722         1    0.9957    0.9374   0.01058  0.003058 0.0009812
   163/199     2.51G   0.02335  0.006869  0.001139   0.03136         6       640    0.9711         1    0.9957    0.9275   0.01066  0.003084 0.0009832
